neuronClassId,className
1,ADA
2,ADE
3,ADF
4,ADL
5,AFD
6,AIA
7,AIB
8,AIM
9,AIN
10,AIY
11,AIZ
12,ALA
13,ALM
14,ALN
15,AQR
16,AS
17,ASE
18,ASG
19,ASH
20,ASI
21,ASJ
22,ASK
23,AUA
24,AVA
25,AVB
26,AVD
27,AVE
28,AVF
29,AVG
30,AVH
31,AVJ
32,AVK
33,AVL
34,AVM
35,AWA
36,AWB
37,AWC
38,BAG
39,BDU
40,CAN
41,CEP
42,DA
43,DB
44,DD
45,DVA
46,DVB
47,DVC
48,FLP
49,HSN
50,I1
51,I2
52,I3
53,I4
54,I5
55,I6
56,IL1
57,IL2
58,LUA
59,M1
60,M2
61,M3
62,M4
63,M5
64,MC
65,MI
66,NSM
67,OLL
68,OLQ
69,PDA
70,PDB
71,PDE
72,PHA
73,PHB
74,PHC
75,PLM
76,PLN
77,PQR
78,PVC
79,PVD
80,PVM
81,PVN
82,PVP
83,PVQ
84,PVR
85,PVT
86,PVW
87,RIA
88,RIB
89,RIC
90,RID
91,RIF
92,RIG
93,RIH
94,RIM
95,RIP
96,RIR
97,RIS
98,RIV
99,RMD
100,RME
101,RMF
102,RMG
103,RMH
104,SAA
105,SAB
106,SDQ
107,SIA
108,SIB
109,SMB
110,SMD
111,URA
112,URB
113,URX
114,URY
115,VA
116,VB
117,VC
118,VD
